Day of Simulation,T_atm_freezing,T_atm_ambient,T_eq_const,S_eq_const
1,-5,5,15,35
2,-5,5,15,35
3,-5,5,15,35
4,-5,5,15,35
5,-5,5,15,35
6,-5,5,15,35
7,-5,5,15,35
8,-5,5,15,35
9,-5,5,15,35
10,-5,5,15,35
11,-5,5,15,35
12,-5,5,15,35
13,-5,5,15,35
14,-5,5,15,35
15,-5,5,15,35
16,-5,5,15,35
17,-5,5,15,35
18,-5,5,15,35
19,-5,5,15,35
20,-5,5,15,35
21,-5,5,15,35
22,-5,5,15,35
23,-5,5,15,35
24,-5,5,15,35
25,-5,5,15,35
26,-5,5,15,35
27,-5,5,15,35
28,-5,5,15,35
29,-5,5,15,35
30,-5,5,15,35
31,-5,5,15,35
32,-5,5,15,35
33,-5,5,15,35
34,-5,5,15,35
35,-5,5,15,35
36,-5,5,15,35
37,-5,5,15,35
38,-5,5,15,35
39,-5,5,15,35
40,-5,5,15,35
41,-5,5,15,35
42,-5,5,15,35
43,-5,5,15,35
44,-5,5,15,35
45,-5,5,15,35
46,-5,5,15,35
47,-5,5,15,35
48,-5,5,15,35
49,-5,5,15,35
50,-5,5,15,35
51,-5,5,15,35
52,-5,5,15,35
53,-5,5,15,35
54,-5,5,15,35
55,-5,5,15,35
56,-5,5,15,35
57,-5,5,15,35
58,-5,5,15,35
59,-5,5,15,35
60,-5,5,15,35
61,-5,5,15,35
62,-5,5,15,35
63,-5,5,15,35
64,-5,5,15,35
65,-5,5,15,35
66,-5,5,15,35
67,-5,5,15,35
68,-5,5,15,35
69,-5,5,15,35
70,-5,5,15,35
71,-5,5,15,35
72,-5,5,15,35
73,-5,5,15,35
74,-5,5,15,35
75,-5,5,15,35
76,-5,5,15,35
77,-5,5,15,35
78,-5,5,15,35
79,-5,5,15,35
80,-5,5,15,35
81,-5,5,15,35
82,-5,5,15,35
83,-5,5,15,35
84,-5,5,15,35
85,-5,5,15,35
86,-5,5,15,35
87,-5,5,15,35
88,-5,5,15,35
89,-5,5,15,35
90,-5,5,15,35
91,-5,5,15,35
92,-5,5,15,35
93,-5,5,15,35
94,-5,5,15,35
95,-5,5,15,35
96,-5,5,15,35
97,-5,5,15,35
98,-5,5,15,35
99,-5,5,15,35
100,-5,5,15,35
101,-5,5,15,35
102,-5,5,15,35
103,-5,5,15,35
104,-5,5,15,35
105,-5,5,15,35
106,-5,5,15,35
107,-5,5,15,35
108,-5,5,15,35
109,-5,5,15,35
110,-5,5,15,35
111,-5,5,15,35
112,-5,5,15,35
113,-5,5,15,35
114,-5,5,15,35
115,-5,5,15,35
116,-5,5,15,35
117,-5,5,15,35
118,-5,5,15,35
119,-5,5,15,35
120,-5,5,15,35
121,-5,5,15,35
122,-5,5,15,35
123,-5,5,15,35
124,-5,5,15,35
125,-5,5,15,35
126,-5,5,15,35
127,-5,5,15,35
128,-5,5,15,35
129,-5,5,15,35
130,-5,5,15,35
131,-5,5,15,35
132,-5,5,15,35
133,-5,5,15,35
134,-5,5,15,35
135,-5,5,15,35
136,-5,5,15,35
137,-5,5,15,35
138,-5,5,15,35
139,-5,5,15,35
140,-5,5,15,35
141,-5,5,15,35
142,-5,5,15,35
143,-5,5,15,35
144,-5,5,15,35
145,-5,5,15,35
146,-5,5,15,35
147,-5,5,15,35
148,-5,5,15,35
149,-5,5,15,35
150,-5,5,15,35
151,-5,5,15,35
152,-5,5,15,35
153,-5,5,15,35
154,-5,5,15,35
155,-5,5,15,35
156,-5,5,15,35
157,-5,5,15,35
158,-5,5,15,35
159,-5,5,15,35
160,-5,5,15,35
161,-5,5,15,35
162,-5,5,15,35
163,-5,5,15,35
164,-5,5,15,35
165,-5,5,15,35
166,-5,5,15,35
167,-5,5,15,35
168,-5,5,15,35
169,-5,5,15,35
170,-5,5,15,35
171,-5,5,15,35
172,-5,5,15,35
173,-5,5,15,35
174,-5,5,15,35
175,-5,5,15,35
176,-5,5,15,35
177,-5,5,15,35
178,-5,5,15,35
179,-5,5,15,35
180,-5,5,15,35
181,-5,5,15,35
182,-5,5,15,35
183,-5,5,15,35
184,-5,5,15,35
185,-5,5,15,35
186,-5,5,15,35
187,-5,5,15,35
188,-5,5,15,35
189,-5,5,15,35
190,-5,5,15,35
191,-5,5,15,35
192,-5,5,15,35
193,-5,5,15,35
194,-5,5,15,35
195,-5,5,15,35
196,-5,5,15,35
197,-5,5,15,35
198,-5,5,15,35
199,-5,5,15,35
200,-5,5,15,35
201,-5,5,15,35
202,-5,5,15,35
203,-5,5,15,35
204,-5,5,15,35
205,-5,5,15,35
206,-5,5,15,35
207,-5,5,15,35
208,-5,5,15,35
209,-5,5,15,35
210,-5,5,15,35
211,-5,5,15,35
212,-5,5,15,35
213,-5,5,15,35
214,-5,5,15,35
215,-5,5,15,35
216,-5,5,15,35
217,-5,5,15,35
218,-5,5,15,35
219,-5,5,15,35
220,-5,5,15,35
221,-5,5,15,35
222,-5,5,15,35
223,-5,5,15,35
224,-5,5,15,35
225,-5,5,15,35
226,-5,5,15,35
227,-5,5,15,35
228,-5,5,15,35
229,-5,5,15,35
230,-5,5,15,35
231,-5,5,15,35
232,-5,5,15,35
233,-5,5,15,35
234,-5,5,15,35
235,-5,5,15,35
236,-5,5,15,35
237,-5,5,15,35
238,-5,5,15,35
239,-5,5,15,35
240,-5,5,15,35
241,-5,5,15,35
242,-5,5,15,35
243,-5,5,15,35
244,-5,5,15,35
245,-5,5,15,35
246,-5,5,15,35
247,-5,5,15,35
248,-5,5,15,35
249,-5,5,15,35
250,-5,5,15,35
251,-5,5,15,35
252,-5,5,15,35
253,-5,5,15,35
254,-5,5,15,35
255,-5,5,15,35
256,-5,5,15,35
257,-5,5,15,35
258,-5,5,15,35
259,-5,5,15,35
260,-5,5,15,35
261,-5,5,15,35
262,-5,5,15,35
263,-5,5,15,35
264,-5,5,15,35
265,-5,5,15,35
266,-5,5,15,35
267,-5,5,15,35
268,-5,5,15,35
269,-5,5,15,35
270,-5,5,15,35
271,-5,5,15,35
272,-5,5,15,35
273,-5,5,15,35
274,-5,5,15,35
275,-5,5,15,35
276,-5,5,15,35
277,-5,5,15,35
278,-5,5,15,35
279,-5,5,15,35
280,-5,5,15,35
281,-5,5,15,35
282,-5,5,15,35
283,-5,5,15,35
284,-5,5,15,35
285,-5,5,15,35
286,-5,5,15,35
287,-5,5,15,35
288,-5,5,15,35
289,-5,5,15,35
290,-5,5,15,35
291,-5,5,15,35
292,-5,5,15,35
293,-5,5,15,35
294,-5,5,15,35
295,-5,5,15,35
296,-5,5,15,35
297,-5,5,15,35
298,-5,5,15,35
299,-5,5,15,35
300,-5,5,15,35
301,-5,5,15,35
302,-5,5,15,35
303,-5,5,15,35
304,-5,5,15,35
305,-5,5,15,35
306,-5,5,15,35
307,-5,5,15,35
308,-5,5,15,35
309,-5,5,15,35
310,-5,5,15,35
311,-5,5,15,35
312,-5,5,15,35
313,-5,5,15,35
314,-5,5,15,35
315,-5,5,15,35
316,-5,5,15,35
317,-5,5,15,35
318,-5,5,15,35
319,-5,5,15,35
320,-5,5,15,35
321,-5,5,15,35
322,-5,5,15,35
323,-5,5,15,35
324,-5,5,15,35
325,-5,5,15,35
326,-5,5,15,35
327,-5,5,15,35
328,-5,5,15,35
329,-5,5,15,35
330,-5,5,15,35
331,-5,5,15,35
332,-5,5,15,35
333,-5,5,15,35
334,-5,5,15,35
335,-5,5,15,35
336,-5,5,15,35
337,-5,5,15,35
338,-5,5,15,35
339,-5,5,15,35
340,-5,5,15,35
341,-5,5,15,35
342,-5,5,15,35
343,-5,5,15,35
344,-5,5,15,35
345,-5,5,15,35
346,-5,5,15,35
347,-5,5,15,35
348,-5,5,15,35
349,-5,5,15,35
350,-5,5,15,35
351,-5,5,15,35
352,-5,5,15,35
353,-5,5,15,35
354,-5,5,15,35
355,-5,5,15,35
356,-5,5,15,35
357,-5,5,15,35
358,-5,5,15,35
359,-5,5,15,35
360,-5,5,15,35
361,-5,5,15,35
362,-5,5,15,35
363,-5,5,15,35
364,-5,5,15,35
365,-5,5,15,35
